i.id;oa.id;i.name;oa.name;i.geo;oa.geo;dist (m);matching_name
593;https://openalex.org/I4387152260;CNAV;Caisse nationale de l'assurance vieillesse;48.8457304, 2.2682467;48.85341, 2.3488;5956.0;False
598;https://openalex.org/I2801702882;SOCIAL SCIENCE RESEARCH CENTER BERLIN;WZB Berlin Social Science Center;;52.52437, 13.41053;;True
599;https://openalex.org/I4210106247;CEC;Corvallis Environmental Center;50.8429981, 4.3814456;44.56457, -123.26204;8270006.0;False
601;https://openalex.org/I181343428;University of Zagreb;University of Zagreb;45.80718539999999, 15.9696341;45.81444, 15.97798;1034.0;True
602;https://openalex.org/I44504214;Czech Technical University Prague;Czech Technical University in Prague;50.1039384, 14.3898108;50.08804, 14.42076;2828.0;False
604;https://openalex.org/I40120149;University of Oxford;University of Oxford;51.753573, -1.261428;51.75222, -1.25596;405.0;True
608;https://openalex.org/I4210086079;Université de Grenoble;Alliance Université-Entreprise de Grenoble;45.1869174, 5.7361566;45.20978, 5.77762;4125.0;False
610;https://openalex.org/I4210151829;NHO;Nebraska Hematology-Oncology;59.9320501, 10.7070464;40.8, -96.66696;7017815.0;False
615;https://openalex.org/I96673099;Technical University of Denmark;Technical University of Denmark;55.7684442, 12.5021303;55.77044, 12.50378;245.0;True
617;https://openalex.org/I153976015;University of Ljubljana;University of Ljubljana;46.2320016, 15.2464832;46.05108, 14.50513;60556.0;True
618;https://openalex.org/I37696226;University of Maribor;University of Maribor;46.6641485, 16.1578724;46.55472, 15.64667;40901.0;True
622;https://openalex.org/I84027002;Leeds Metropolitan University;Leeds Beckett University;53.8037865, -1.5452937;53.79648, -1.54785;830.0;True
623;https://openalex.org/I112281704;Academy of Finland;Research Council of Finland;60.1903391, 24.9644452;60.16952, 24.93545;2816.0;True
627;https://openalex.org/I99464096;KATHOLIEKE UNIVERSITEIT LEUVEN;KU Leuven;50.8779735, 4.6993279;50.87959, 4.70093;212.0;True
628;https://openalex.org/I99464096;Katholieke Universiteit Leuven;KU Leuven;50.861696, 4.6862036;50.87959, 4.70093;2242.0;True
629;https://openalex.org/I188760350;NATIONAL UNIVERSITY OF IRELAND, GALWAY;Ollscoil na Gaillimhe – University of Galway;53.2757894, -9.0586178;53.27245, -9.05095;631.0;True
633;https://openalex.org/I91712215;Universität des Saarlandes;Saarland University;49.3295827, 7.3398428;49.23262, 7.00982;26255.0;True
634;https://openalex.org/I8204097;Ludwig-Maximilians-Universität München;Ludwig-Maximilians-Universität München;48.112144, 11.473743;48.13743, 11.57549;8058.0;True
635;https://openalex.org/I4210144610;Hôpital Saint-Louis;Hôpital Saint-Louis;48.8734609, 2.3702258;48.85341, 2.3488;2725.0;True
636;https://openalex.org/I36234482;University of Bristol;University of Bristol;51.4588934, -2.6027921;51.45523, -2.59665;589.0;True
637;https://openalex.org/I169381384;UNIVERSITY OF GRONINGEN;University of Groningen;53.2489142, 6.527169;53.21917, 6.56667;4225.0;True
638;https://openalex.org/I4210138877;Centre Scientifique et Technique de la Construction;Buildwise;50.8453953, 4.3522472;50.85045, 4.34878;613.0;True
639;https://openalex.org/I4210165411;Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas;Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas;40.4514149, -3.7273836;40.4165, -3.70256;4414.0;True
641;https://openalex.org/I28166907;KAROLINSKA INSTITUTE;Karolinska Institutet;59.3477431, 18.021491;59.32938, 18.06871;3367.0;True
